时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:28:53.199Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2148,0.6406,0.7524,2.38,-1.89,-6.77,40.74,12.45,133.93
"2025-05-23T07:28:53.211Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.3169,0.9644,0.1831,4.15,-4.27,-0.92,80.19,18.81,-37.35
"2025-05-23T07:28:53.213Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0083,-0.0786,1.1440,49.38,43.46,-4.70,-4.04,0.73,57.40
"2025-05-23T07:28:53.223Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9302,-0.2114,0.2954,0.00,-0.85,0.67,-38.12,69.38,-134.24
"2025-05-23T07:28:53.227Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.1104,0.9180,0.3799,7.51,0.49,-5.74,67.55,-4.22,-26.30
"2025-05-23T07:28:53.243Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0161,-0.2012,1.2808,-23.93,18.43,-13.24,-8.43,-2.44,-98.96
"2025-05-23T07:28:53.244Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.2427,0.6509,0.7227,-0.06,-0.37,-0.43,40.74,12.51,133.72
"2025-05-23T07:28:53.245Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2822,0.9595,0.1113,5.62,-1.34,0.61,80.40,18.78,-37.68
"2025-05-23T07:28:53.246Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9434,-0.2173,0.2788,-0.24,-0.43,-0.24,-38.07,69.36,-134.23
"2025-05-23T07:28:53.250Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.0376,0.0381,1.1748,24.60,38.33,-8.85,-1.50,3.96,56.73
"2025-05-23T07:28:53.264Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",0.0327,0.0630,1.0122,-73.36,37.17,-28.38,-11.32,-0.34,-99.78
"2025-05-23T07:28:53.290Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2896,0.9170,0.1499,5.74,-0.67,6.10,80.63,18.51,-37.81
"2025-05-23T07:28:53.291Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9336,-0.1943,0.2842,-3.17,1.04,-0.79,-38.08,69.43,-134.40
"2025-05-23T07:28:53.293Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",0.0483,0.9214,0.4204,6.23,-2.20,0.18,67.88,-4.16,-26.37
"2025-05-23T07:28:53.296Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",-0.1855,-0.0400,1.0591,-15.44,-98.88,-40.47,-2.11,2.55,55.81
