时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-05-23T07:32:43.914Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9512,-0.2603,0.1567,-0.49,-1.10,0.12,-58.40,72.15,-152.35
"2025-05-23T07:32:43.929Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2446,0.9409,-0.2153,-0.61,0.85,-0.24,102.61,14.36,-147.37
"2025-05-23T07:32:43.930Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9502,-0.2646,0.1597,0.00,-0.67,0.12,-58.41,72.15,-152.36
"2025-05-23T07:32:43.935Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0400,0.9946,-0.0317,0.43,0.43,-0.06,91.74,2.17,-56.64
"2025-05-23T07:32:43.940Z",C2roBuf9SJq1JEvJg6ghgw==,"WTR2",0.1909,-0.1558,0.9917,0.43,-0.18,2.50,-8.65,-11.34,40.44
"2025-05-23T07:32:44.031Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1602,0.1328,1.0093,0.00,-0.37,-0.79,7.62,8.92,-112.49
"2025-05-23T07:32:44.039Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4082,0.5664,0.7085,-0.55,1.40,1.71,38.46,24.24,27.13
"2025-05-23T07:32:44.041Z",nQO6AVJkbi3RZSWGq8bA7Q==,"WTR1",-0.2451,0.9390,-0.2124,-1.16,1.71,-0.37,102.60,14.35,-147.29
"2025-05-23T07:32:44.042Z",flojut6MDCK1yDtLxihbxQ==,"WTL3",-0.9526,-0.2593,0.1567,-0.49,-0.92,0.06,-58.41,72.15,-152.37
"2025-05-23T07:32:44.043Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0400,0.9990,-0.0327,0.43,0.12,0.00,91.74,2.18,-56.65
"2025-05-23T07:32:44.044Z",QEeDLZSRIVQP3s/HgjPLQQ==,"WTR3",-0.4092,0.5771,0.7012,-0.73,0.92,1.53,38.46,24.25,27.21
"2025-05-23T07:32:44.045Z",2du5wGR5eD2bbUgnkBG6Ng==,"WTL2",-0.1621,0.1387,1.0049,0.00,-0.18,0.67,7.62,8.92,-112.48
"2025-05-23T07:32:44.046Z",S9g0QdPJTOwpJL6pjEVoKg==,"WTL1",-0.0229,0.9844,-0.0415,0.61,0.49,0.06,91.74,2.18,-56.65
